temperature_2m_max,temperature_2m_min,temperature_2m_mean,rain_sum,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum,year,month,day,id
24.9,13.0,18.1,4.1,7.0,15.3,21.17,2020,10,13,"d8de49b5-ee32-47a3-8abe-d47e0706d9c3"
26.2,11.8,17.9,0.4,4.0,22.2,22.07,2020,10,14,"9762069f-a82f-4acc-bfa9-ad7e02890257"
26.8,12.4,18.8,0.0,0.0,22.2,22.99,2020,10,15,"f84aeb29-9836-49b3-a9e8-92eae892034c"
25.2,10.0,17.1,0.0,0.0,25.3,21.07,2020,10,16,"b5b2e9b9-565f-4eda-90b7-f6eccd3820a1"
24.0,8.6,16.6,0.1,1.0,17.1,24.24,2020,10,17,"ea711408-c964-4d56-9ee2-f2982d366480"
24.8,10.3,17.1,1.1,1.0,12.0,22.38,2020,10,18,"778a5623-8342-4b31-9a6e-588a95fa40a8"
26.3,13.2,18.6,0.8,3.0,19.8,21.96,2020,10,19,"9c9131be-c688-4af7-af72-7ceb4b15e32b"
25.6,11.6,18.0,0.4,4.0,20.9,23.72,2020,10,20,"a9259bf9-889c-4198-bc3e-f66be32f3bda"
25.8,13.1,18.2,0.1,1.0,15.6,22.71,2020,10,21,"b7ead665-0ceb-48a9-af9f-c5b9e500607e"
26.3,11.0,18.2,0.0,0.0,14.3,24.18,2020,10,22,"f01c60d2-59e0-4f44-832b-2b723f2feb45"
27.5,11.5,18.5,0.0,0.0,20.9,24.4,2020,10,23,"8715b6c7-9c19-448e-81a5-e3fab0c6d6fa"
25.9,8.7,17.1,0.0,0.0,18.1,24.37,2020,10,24,"5b8f712b-fd3f-4978-8d8e-8790e144edad"
25.7,8.0,16.8,0.0,0.0,13.4,24.02,2020,10,25,"d3676c0a-bebd-4168-b5d6-40e7e604747e"
26.8,11.6,18.5,0.0,0.0,10.8,24.42,2020,10,26,"b1ccf6c2-b579-4058-9c43-2e1c75c110f2"
27.0,10.2,18.0,0.0,0.0,17.4,23.17,2020,10,27,"dc74019f-c442-4c1b-8309-85b78352a2fa"
26.7,11.0,18.2,0.0,0.0,15.8,21.65,2020,10,28,"ebd8718e-5b00-4c43-9a40-7cbd24bcb184"
26.0,12.8,18.7,0.1,1.0,18.2,18.89,2020,10,29,"2e476255-6e0a-44b9-9636-9165b5f3bb4e"
24.0,10.7,16.3,0.3,3.0,17.6,20.17,2020,10,30,"7110975b-dccf-493e-af72-12fcfa3d9ebb"
25.2,9.6,17.3,0.0,0.0,13.1,20.98,2020,10,31,"5effc4d4-a3e2-490a-a840-1ef7251526bb"
22.0,6.3,13.5,0.0,0.0,15.3,17.54,2020,12,1,"6bcd08a9-401e-4130-a39d-34394c508756"
21.6,7.5,14.4,0.0,0.0,14.3,17.72,2020,12,2,"6ab9a560-e7a2-45bb-afae-acc157c6b39a"
23.1,7.9,14.2,0.0,0.0,20.4,18.54,2020,12,3,"19117aa7-5920-4a76-bb83-038b9e6f04ee"
23.2,6.1,14.5,0.0,0.0,21.3,18.64,2020,12,4,"0c07cc55-a10d-4802-b716-0978ac308003"
23.9,7.5,15.3,0.0,0.0,21.6,18.99,2020,12,5,"37abbd89-bcb8-4f46-8ecf-461ecc07a130"
22.2,7.2,14.8,0.0,0.0,15.1,17.89,2020,12,6,"e554e4b7-e7b9-46c3-9d9a-9756e95b0b8c"
19.0,9.8,14.0,0.0,0.0,14.4,14.88,2020,12,7,"b5163d77-69b3-496a-9680-68f136a2b0ca"
21.0,6.7,13.6,0.1,1.0,17.7,16.08,2020,12,8,"cffef82a-b8bf-40c3-94f1-4a39cf8b158b"
21.6,8.2,14.9,0.0,0.0,15.9,16.8,2020,12,9,"bd52fe92-b83a-40d7-ad0e-a2017fdd32ae"
22.9,9.3,15.8,0.0,0.0,15.5,17.07,2020,12,10,"a0ff1d44-9bf3-42a8-9c35-9f9a8818d6fe"
24.1,12.8,17.4,0.4,2.0,11.3,18.64,2020,12,11,"fbedd694-8333-4b7e-bdb3-6318c58908de"
23.0,8.9,15.9,0.0,0.0,17.0,17.52,2020,12,12,"f619055b-fa11-4095-b4d6-d4bd551320fa"
24.7,6.8,15.7,0.0,0.0,20.8,19.35,2020,12,13,"58ad94d3-7936-46b2-8cbc-44cee894aae2"
23.0,10.1,15.7,0.0,0.0,22.2,18.14,2020,12,14,"dce9c8d7-dffe-4644-af87-f2d652847dab"
24.4,6.7,15.3,0.1,1.0,11.2,18.96,2020,12,15,"f548d420-ecd8-4e9b-be01-0ea292d0ca36"
22.2,9.8,15.1,0.0,0.0,18.8,16.31,2020,12,16,"d5c41a7f-a042-49de-a203-4c31d00d0351"
21.8,7.0,14.1,0.0,0.0,13.6,17.63,2020,12,17,"4b2575e2-4f5c-4a06-b64a-133a895339bf"
22.2,6.4,14.4,0.0,0.0,14.5,17.51,2020,12,18,"bbcecbef-2b7c-431e-8d67-cb95e2b93373"
22.7,10.6,16.2,0.0,0.0,14.7,18.39,2020,12,19,"7c8c8be0-ebe0-4448-830b-09e18d31a17a"
21.8,9.5,15.6,0.2,2.0,17.8,16.61,2020,12,20,"a7253fae-5d4b-427c-ba4b-2f0f252f6eb3"
21.4,8.4,15.0,0.0,0.0,9.1,16.9,2020,12,21,"3acf077a-fc73-438b-a922-8592f963adec"
23.1,9.7,16.0,0.0,0.0,12.2,17.8,2020,12,22,"ed94bc5b-f6cf-483e-b50b-c275bde57f3c"
23.7,7.4,15.5,0.0,0.0,15.6,18.71,2020,12,23,"83bc7d02-a420-4ca0-8d93-aca53eb45275"
22.8,7.4,14.8,0.0,0.0,21.3,19.98,2020,12,24,"6c97fe46-cb3f-44be-b2e4-76ab8f277a6b"
21.0,2.4,11.4,0.0,0.0,12.3,17.77,2020,12,25,"9d970f37-ff1f-47af-b63d-6727e9fd18e7"
23.5,5.1,14.2,0.0,0.0,14.7,19.8,2020,12,26,"0be0e90e-817a-4d05-b758-9078cf8ede2b"
21.7,5.4,13.9,0.0,0.0,13.7,20.49,2020,12,27,"574a253f-8718-4784-bebe-b5f38d942ba2"
